"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"9","R Tip: Top 50 ggplot2 Visualizations - A Master List. #rstats https://t.co/BLwlGwg7RV https://t.co/LvksOyQrnq",FALSE,382,NA,2017-08-16 06:30:08,FALSE,NA,"897707028948373504",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",319,FALSE,FALSE,NA,NA
"286","Free R Tutorials for beginners, from scratch. http://t.co/aLvg5tRzfn #rstats #datascience #statistics http://t.co/81tBiFypam",FALSE,279,NA,2015-01-03 15:48:49,FALSE,NA,"551404825292726272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",201,FALSE,FALSE,NA,NA
"18","R Tip: It is now possible to build Deep Learning models with keras in R #rstats https://t.co/EuEMwNWGgl #datascience https://t.co/KY0B6qtJQw",FALSE,105,NA,2017-06-01 09:16:18,FALSE,NA,"870207365760524288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",184,FALSE,FALSE,NA,NA
"25","New Post: Top 50 ggplot2 Visualizations - The Master List (With Full R Code)  #rstats #datascience… https://t.co/D1mOZfmE47",FALSE,257,NA,2017-01-13 03:36:52,TRUE,NA,"819750030064160770",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",169,FALSE,FALSE,NA,NA
"87","How to make any plot in ggplot2? - Detailed!
#rstats #datascience https://t.co/nSAlxNLYHR https://t.co/BclhYrFnAH",FALSE,271,NA,2015-12-29 07:41:12,FALSE,NA,"681741745118294016",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",153,FALSE,FALSE,NA,NA
"14","R Tip: How to join multiple dataframes in one go using dplyr. #rstats #DataScience https://t.co/jHVyMbTDGb",FALSE,236,NA,2017-08-06 10:41:30,FALSE,NA,"894146406885203968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",127,FALSE,FALSE,NA,NA
"22","New Grand Test added to 'Learn R By Intensive Practice' video course #rstats https://t.co/EnYl4gw02E https://t.co/CSo3aYo59I",FALSE,77,NA,2017-04-11 13:59:35,FALSE,NA,"851796874591973376",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",120,FALSE,FALSE,NA,NA
"10","R Tip: The preview release of RStudio has a new terminal and you can run python line-by-line. #rstats #datascience… https://t.co/xsj1MFgRan",FALSE,188,NA,2017-08-12 14:12:44,TRUE,NA,"896373893992071168",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",102,FALSE,FALSE,NA,NA
"16","R Tip: Use `skimr` <ed><U+00A0><U+00BD><ed><U+00B3><U+00A6> for useful and tidy summary statistics https://t.co/ztGbNJuX62 by @juliesquid #rstats… https://t.co/gFonnKOFbi",FALSE,230,NA,2017-07-12 10:33:50,TRUE,NA,"885084780777353216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",102,FALSE,FALSE,NA,NA
"296","Introducing http://t.co/HfuQoAckUp, Our very own flagship reference site for Beginners and Advanced R. Pl Bookmark it! #rstats #datascience",FALSE,119,NA,2014-12-18 17:27:38,FALSE,NA,"545631488809508864",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",97,FALSE,FALSE,NA,NA
"28","New Post: The Complete Ggplot2 Tutorial - Part1 | Introduction To Ggplot (With Full R code) #rstats #datascience… https://t.co/U2dDD9WYNV",FALSE,190,NA,2017-01-09 11:26:04,TRUE,NA,"818418558484889600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",88,FALSE,FALSE,NA,NA
